,Gene,Ortholog,gene_id,ortholog_id
120,ADRA2C,AMPH,152,273
121,ADRB1,ADCY4,153,196883
122,ADRB2,AMT,154,275
123,ADSL,AMY2B,158,280
124,ADSS2,AMY2A,159,279
125,AP2A1,ANK1,160,286
126,AP2A2,ANPEP,161,290
127,AP1B1,SLC25A4,162,291
128,AP1G1,SLC25A6,164,293
129,AEBP1,ANXA1,165,301
130,TLE5,AOC2,166,314
131,CRISP1,AOX1,167,316
132,AFM,APEX1,173,328
133,AFP,BIRC2,174,329
134,AGA,BIRC3,175,330
135,ACAN,BIRC8,176,112401
136,ACAN,XIAP,176,331
137,AGER,BIRC5,177,332
138,AGL,APLP1,178,333
139,JAG1,APOE,182,348
140,AGT,APP,183,351
141,AGTR1,KLK3,185,354
142,AGTR2,FAS,186,355
143,APLNR,FASLG,187,356
144,AGXT,AQP2,189,359
145,NR0B1,AQP3,190,360
146,AHCY,AQP4,191,361
147,AHR,AREG,196,374
148,AHSG,ARF1,197,375
149,AIF1,ARG1,199,383
150,CRYBG1,ARHGAP1,202,392
151,AK2,ARHGAP5,204,394
152,AK4,ARHGAP6,205,395
153,AK4P1,ARHGDIA,206,396
154,AKT1,ARHGDIB,207,397
155,AKT2,RHOH,208,399
156,ALAD,BMAL1,210,406
157,ALAS1,ARRB1,211,408
158,ALAS2,ARRB2,212,409
159,ALB,ARSA,213,410
160,ALCAM,ARSB,214,411
161,ABCD1,STS,215,412
162,ALDH1A1,ASAH1,216,427
163,ALDH2,ASIP,217,434
164,ALDH3A1,ASL,218,435
165,ALDH1B1,ASMT,219,438
166,ALDH1A3,ASNS,220,440
167,ALDH3B1,ASPA,221,443
168,ALDH9A1,ASS1,223,445
169,ALDH3A2,AACS,224,65985
170,ABCD2,SERPINC1,225,462
171,ALDOAP2,ATIC,228,471
172,ALDOB,ATM,229,472
173,ALDOC,ATP1A1,230,476
174,AKR1B1,ATP1A2,231,477
175,AKR1B1P2,ATP1B2,236,482
176,ALK,FXYD2,238,486
177,ALOX12,ATP2A1,239,487
178,ALOX5,ATP2A2,240,488
179,ALOX5AP,ATP2A3,241,489
180,ALOX12B,ATP2B1,242,490
181,ALOX12P1,ATP2B2,243,491
182,ALOX12P2,ATP2B4,245,493
183,ALOX15,ATP4A,246,495
184,ALOX15B,ATP4B,247,496
185,ALPL,ALDH7A1,249,501
186,ALPP,ATP5F1B,250,506
187,ALX3,ATP5MC1,257,516
188,ALX3,ATP5MC2,257,517
189,AMBN,ATP5MC3,258,518
190,AMBP,ATP5ME,259,521
191,AMD1,ATP6V1B1,262,525
192,AMD1P2,ATP6V1B2,263,526
193,AMELY,ATP6V1E1,266,529
194,AMFR,ATP6V0B,267,533
195,AMH,ATP6V1G2,268,534
196,AMHR2,ATP6V0A1,269,535
197,AMPD1,ATP6AP1,270,537
198,AMPD2,ATP5PO,271,539
199,AMPD3,ATR,272,545
200,AMPH,AUH,273,549
201,BIN1,AVP,274,551
202,AMT,AVPR1A,275,552
203,AMY1A,AVPR1B,276,553
204,AMY1B,AVPR2,277,554
205,AMY2A,BAAT,279,570
206,AMY2B,BAD,280,572
207,ANCR,BAK1,282,578
208,ANG,BARD1,283,580
209,ANGPT1,BAX,284,581
210,ANK1,BCAT2,286,587
211,ANK2,BCKDHA,287,593
212,ANK3,BCKDHB,288,594
213,ANPEP,BCL2,290,596
214,SLC25A4,UROC1,291,131669
215,SLC25A5,BCL2L1,292,598
216,SLC25A6,TNFRSF17,293,608
217,ANXA1,BHMT,301,635
218,ANXA2,BID,302,637
219,ANXA2P1,BIK,303,638
220,ANXA2P2,BLM,304,641
221,ANXA2P3,CXCR5,305,643
222,ANXA3,BLVRA,306,644
223,ANXA4,BLVRB,307,645
224,ANXA5,BMI1,308,648
225,ANXA6,LDHD,309,197257
226,ANXA7,BMP2,310,650
227,ANXA11,FCSK,311,197258
228,ANXA13,BMP4,312,652
229,AOAH,BMP5,313,653
230,AOX1,BMP8B,316,656
231,APAF1,BMPR1A,317,657
232,NUDT2,BMPR1B,318,658
233,APOF,BMPR2,319,659
234,APBA1,POLR3D,320,661
235,APBA2,BNIP1,321,662
236,APBB1,BPGM,322,669
237,APBB2,BRCA1,323,672
238,APC,BRAF,324,673
239,APCS,BRCA2,325,675
240,AIRE,BRS3,326,680
241,APEH,BST1,327,683
242,APEX1,BTC,328,685
243,BIRC2,BTG1,329,694
244,BIRC3,BTK,330,695
245,XIAP,BUB1,331,699
246,BIRC5,BUB1B,332,701
247,APLP2,SERPING1,334,710
248,APOA1,C1QA,335,712
249,APOA2,C1QB,336,713
250,APOA4,C1QC,337,714
251,APOBEC1,C1S,339,716
252,APOC1,C3,341,718
253,APOC1P1,C3AR1,342,719
254,AQP8,C4A,343,720
255,APOC2,C4B,344,721
256,APOC3,C4BPA,345,722
257,APOC4,C4BPB,346,725
258,APOD,C5,347,727
259,APOE,C5AR1,348,728
260,APOH,C7,350,730
261,APP,C8A,351,731
262,APRT,C8G,353,733
263,KLK3,C9,354,735
264,FAS,CA1,355,759
265,FASLG,CA2,356,760
266,SHROOM2,CA3,357,761
267,AQP1,CA4,358,762
268,AQP2,CA5A,359,763
269,AQP2,CA5B,359,11238
270,AQP3,CA6,360,765
271,AQP4,CA7,361,766
272,AQP5,CA8,362,767
273,AQP6,CA9,363,768
274,AQP7,CA12,364,771
275,AQP9,CACNA1B,366,774
276,AR,CACNA1C,367,775
277,ABCC6,CACNA1D,368,776
278,ARAF,CACNA1E,369,777
279,ARCN1,CACNA2D1,372,781
280,TRIM23,CACNB1,373,782
281,AREG,CACNB2,374,783
282,ARF1,CACNB3,375,784
283,ARF3,CACNG1,377,786
284,ARF4,CAD,378,790
285,ARF4P1,CALD1,380,800
286,ARF5,CALM1,381,801
287,ARF6,COL6A6,382,131873
288,ARG1,CALM2,383,805
289,ARG2,CALM3,384,808
290,RHOA,CAMK4,387,814
291,RHOB,CAMK2A,388,815
292,RHOC,CAMK2B,389,816
293,RND3,CAMK2D,390,817
294,RHOG,CAMK2G,391,818
295,ARHGAP5,CAPN1,394,823
296,ARHGAP6,CAPN2,395,824
297,ARHGDIA,CAPNS1,396,826
298,ARHGDIB,CARS1,397,833
299,ARHGDIG,CASP1,398,834
300,RHOH,CASP2,399,835
301,ARL1,CASP3,400,836
302,PHOX2A,CASP4,401,837
303,ARL2,CASP5,402,838
304,ARNT,CASP8,405,841
305,BMAL1,CASP9,406,842
306,ARR3,CASP10,407,843
307,ARRB1,CAT,408,847
308,ARRB2,CAV1,409,857
309,ARSA,CAV2,410,858
310,ARSB,CAV3,411,859
311,STS,RUNX1,412,861
312,ARSC2,RUNX1T1,413,862
313,ARSD,CBL,414,867
314,ARSF,CBR1,416,873
315,ART1,CBR3,417,874
316,ART2P,CBS,418,875
317,ART3,CCKAR,419,886
318,ART4,CCKBR,420,887
319,ARVCF,CCNA2,421,890
320,ASAH1,CCNG1,427,900
321,ASCL1,CCNH,429,902
322,ASCL2,CD1A,430,909
323,ASGR1,CD1C,432,911
324,ASGR2,CD1D,433,912
325,ASIP,CD1E,434,913
326,ASL,CD2,435,914
327,ASLP1,CD3D,436,915
328,ASMT,CD3G,438,917
329,GET3,CD247,439,919
330,ASNS,CD4,440,920
331,ASNSP2,CD6,442,923
332,ASPH,CD8A,444,925
333,ASS1,CD8B,445,926
334,ASS1P2,CD14,447,929
335,ASS1P4,MS4A1,449,931
336,ASS1P5,CD22,450,933
337,ASS1P6,CD27,451,939
338,ASS1P8,CD86,453,942
339,ASS1P8,CD80,453,941
340,ASS1P9,CD86,454,942
341,ASS1P10,TNFRSF8,455,943
342,ASS1P14,CD36,459,948
343,ASTN1,SCARB2,460,950
344,SERPINC1,CD38,462,952
345,ZFHX3,ENTPD1,463,953
346,ATF1,ENTPD3,466,956
347,ATF4,CD40,468,958
348,ATF4P1,CD40LG,469,959
349,ATIC,CD47,471,961
350,ATM,CD48,472,962
351,RERE,CD58,473,965
352,ATOH1,CD59,474,966
353,ATOX1,CD63,475,967
354,ATP1A1,CD68,476,968
355,ATP1A2,CD70,477,970
356,ATP1A3,CD72,478,971
357,ATP12A,CD74,479,972
358,ATP1A4,CD79A,480,973
359,ATP1B1,CD79B,481,974
360,ATP1B2,CD81,482,975
361,ATP1B3,CDA,483,978
362,ATP1B3P1,CDK1,484,983
363,ATP1B1P1,CDK11B,485,984
364,FXYD2,CDC5L,486,988
365,ATP2A3,CDC25A,489,993
366,ATP2B1,CDC25B,490,994
367,ATP2B2,CDC25C,491,995
368,ATP2B4,CDC34,493,997
369,ATP4B,CDH2,496,1000
370,ATP5F1A,CDH4,498,1002
371,ALDH7A1,CDK2,501,1017
372,ATP5F1AP2,CDK5,504,1020
373,ATP5F1B,CDK7,506,1022
374,ATP5F1BP1,CDK8,507,1024
375,ATP5F1C,CDKN1B,509,1027
376,ATP5F1E,CDKN2D,514,1032
377,ATP5PB,CDO1,515,1036
378,ATP5MC1,CDS1,516,1040
379,ATP5MC2,CEBPA,517,1050
380,ATP5MC3,CEBPB,518,1051
381,ATP5MC2P1,CES1,520,1066
382,ATP5ME,CETN2,521,1069
383,ATP5PF,CFL1,522,1072
384,ATP6V1A,CFL2,523,1073
385,ATP6V1B1,CFTR,525,1080
386,ATP6V1B2,CGA,526,1081
387,ATP6V0C,GLYCTK,527,132158
388,ATP6V1C1,CHAD,528,1101
389,ATP6V1E1,CHAT,529,1103
390,ATP6V0B,CHIT1,533,1118
391,ATP6V1G2,CHKA,534,1119
392,ATP6V0A1,CHKB,535,1120
393,ATP6AP1,CHRM1,537,1128
394,ATP7A,CHRM2,538,1129
395,ATP5PO,CHRM3,539,1131
396,ATP7B,CHRM4,540,1132
397,ALDH7A1P1,CHRM5,541,1133
398,ALDH7A1P3,CHRNA2,543,1135
399,ALDH7A1P4,CHRNA3,544,1136
400,ATR,CHRNA4,545,1137
401,ATRX,CHRNA5,546,1138
402,KIF1A,CHRNA7,547,1139
403,AUH,CHRNB2,549,1141
404,AUP1,CHRNB3,550,1142
405,AVP,CHRNB4,551,1143
406,AVPR1A,CHRND,552,1144
407,AVPR1B,CHRNE,553,1145
408,AVPR2,CHRNG,554,1146
409,AXL,CKM,558,1158
410,AZGP1,AP2M1,563,1173
411,AZU1,AP3S1,566,1176
412,B2M,CLCA1,567,1179
413,B2MR,TPP1,568,1200
414,BAAT,CLN5,570,1203
415,BACH1,CLTA,571,1211
416,BAD,CLTB,572,1212
417,BAG1,CLTC,573,1213
418,BAGE,CMA1,574,1215
419,ADGRB1,CCR1,575,1230
420,ADGRB2,CCR3,576,1232
421,ADGRB3,CCR4,577,1233
422,BAK1,CCR5,578,1234
423,NKX3-2,CCR6,579,1235
424,BARD1,CCR7,580,1236
425,BAX,CCR8,581,1237
426,BBS2,ABCC2,583,1244
427,BBS4,CNGA3,585,1261
428,BCAT1,CNGA4,586,1262
429,BCAT2,PLK3,587,1263
430,BCHE,CNTF,590,1270
431,BCKDHA,COL1A1,593,1277
432,BCKDHB,COL1A2,594,1278
433,CCND1,COL2A1,595,1280
434,BCL2,COL3A1,596,1281
435,BCL2A1,COL4A1,597,1282
436,BCL2L1,COL4A2,598,1284
437,BCL2L2,COL4A3,599,1285
438,BAK1P1,COL4A4,600,1286
439,BCL3,COL4A6,602,1288
440,BCL6,COL5A2,604,1290
441,BCL7A,COL6A1,605,1291
442,BCL9,COL6A3,607,1293
443,TNFRSF17,COL11A1,608,1301
444,HCN2,COMP,610,1311
445,OPN1SW,COMT,611,1312
446,BCR,MAP3K8,613,1326
447,BCRP4,COX6A1,616,1337
448,BCS1L,COX6A2,617,1339
449,BCYRN1,COX6B1,618,1340
450,BCYRN1P1,COX6C,619,1345
451,BCYRN1P2,COX7A1,620,1346
452,BDH1,COX7B,622,1349
453,BDKRB2,COX8A,624,1351
454,BDNF,COX15,627,1355
455,CFB,CPA3,629,1359
456,BFSP1,CPE,631,1363
457,CEACAM1,CLDN7,634,1366
458,BHMT,CPOX,635,1371
459,BICD1,CPS1,636,1373
460,BID,CPT1A,637,1374
461,BIK,CPT1B,638,1375
462,PRDM1,CPT2,639,1376
463,BLK,CR1,640,1378
464,BLM,CR2,641,1380
465,BLMH,CRAT,642,1384
466,BLVRA,ATF2,644,1386
467,BLVRB,CREBBP,645,1387
468,BNC1,CREM,646,1390
469,BMP2,CRK,650,1398
470,BMP3,CRKL,651,1399
471,BMP4,CRY1,652,1407
472,BMP5,CRY2,653,1408
473,BMP6,CRYZ,654,1429
474,BMP7,CS,655,1431
475,BMP8B,MAPK14,656,1432
476,BMPR1A,CSF1,657,1435
477,BMPR2,CSF2,659,1437
478,BMX,CSF2RA,660,1438
479,POLR3D,CSF2RB,661,1439
480,BNIP1,CSF3,662,1440
481,BNIP2,CSF3R,663,1441
482,BNIP3L,CSK,665,1445
483,BOK,CSNK1A1,666,1452
484,DST,CSNK1D,667,1453
485,FOXL2,CSNK1E,668,1454
486,BPGM,CSNK1G2,669,1455
487,BPHL,CSNK1G3,670,1456
488,BPI,CSNK2A1,671,1457
489,BRCA1,CSNK2A2,672,1459
490,BRAF,CSNK2B,673,1460
491,BRCA2,SLC25A10,675,1468
492,BRDT,CSTF1,676,1477
493,ZFP36L1,CSTF2,677,1478
494,ZFP36L2,CSTF3,678,1479
495,BRS3,CTBP1,680,1487
496,BSG,CTF1,682,1489
497,BST1,CTH,683,1491
498,BST2,CTLA4,684,1493
499,BTC,CTNNA1,685,1495
500,BTD,CTNNA2,686,1496
501,KLF9,CTNS,687,1497
502,KLF5,CTNNB1,688,1499
503,BTF3P11,CTPS1,690,1503
504,BTF3P1,CTSE,693,1510
505,BTG1,CTSG,694,1511
506,BTK,CTSH,695,1512
507,BTN1A1,CTSK,696,1513
508,BUB1,CTSO,699,1519
509,BVR1,CTSS,700,1520
510,BUB1B,CTSW,701,1521
511,BYSL,CYBA,705,1535
512,TSPO,CYBB,706,1536
513,C1QBP,CYLD,708,1540
514,SERPING1,CYP1A2,710,1544
515,ERC2-IT1,CYP1B1,711,1545
516,C1QC,CYP3A7,714,1551
517,C1R,CYP2A6,715,1548
518,C1R,CYP2A13,715,1553
519,C1S,CYP2B6,716,1555
520,C2,CYP2C19,717,1557
521,C3,CYP2C8,718,1558
522,C3AR1,CYP2C9,719,1559
523,C4A,CYP2C18,720,1562
524,C4B,CYP2D6,721,1565
525,C4BPAP2,CYP2J2,724,1573
526,C4BPB,CYP3A4,725,1576
527,CAPN5,CYP3A5,726,1577
528,C5,CYP4A22,727,284541
529,C5,CYP4A11,727,1579
530,C6,CYP7A1,729,1581
531,C8A,CYP11A1,731,1583
532,C8B,CYP11B1,732,1584
533,C8G,CYP11B2,733,1585
534,OSGIN2,CYP17A1,734,1586
535,C9,CYP19A1,735,1588
536,VPS51,CYP26A1,738,1592
537,MRPL49,CYP27B1,740,1594
538,ZNHIT2,CYP51A1,741,1595
539,MYRF,CD55,745,1604
540,TMEM258,DAG1,746,1605
541,DAGLA,DGKA,747,1606
542,GAS8-AS1,DGKQ,750,1609
543,LDLRAD4,DAPK3,753,1613
544,PTTG1IP,DARS1,754,1615
545,CFAP410,DAXX,755,1616
546,TMEM50B,DBI,757,1622
547,MPPED1,DBT,758,1629
548,CA2,ECI1,760,1632
549,CA3,DCK,761,1633
550,CA4,DCN,762,1634
551,CA5AP1,ACE,764,1636
552,CA6,DCT,765,1638
553,CA7,DCTN1,766,1639
554,CA8,DCX,767,1641
555,CA9,DDB1,768,1642
556,CA12,AKR1C1,771,1645
557,CACNA1A,GADD45A,773,1647
558,CACNA1B,DDIT3,774,1649
559,CACNA1C,DDOST,775,1650
560,CACNA1D,DDX3X,776,1654
561,CACNA1E,DDX5,777,1655
562,CACNA1F,DDX6,778,1656
563,CACNA1S,DHX8,779,1659
564,CACNA2D1,DES,781,1674
565,CACNB1,CFD,782,1675
566,CACNB2,DFFA,783,1676
567,CACNB3,DFFB,784,1677
568,CACNB4,DGUOK,785,1716
569,CACNG1,DHCR7,786,1717
570,SLC25A20,DHFR,788,1719
571,SLC25A20P1,GNPDA2,789,132789
572,CAD,DHODH,790,1723
573,CALB1,DIAPH1,793,1729
574,CALB2,DIAPH2,794,1730
575,S100G,DLAT,795,1737
576,CALCA,DLD,796,1738
577,CALCB,DLG1,797,1739
578,CALCP,DLG2,798,1740
579,CALCR,DLG3,799,1741
580,CALM1,DLST,801,1743
581,CALM1P1,DMD,802,1756
582,CALM1P2,DNM1,804,1759
583,CALM2,DNA2,805,1763
584,CALM2P2,DNAH6,806,1768
585,CALM2P3,DNAH8,807,1769
586,CALM3,DNASE2,808,1777
587,CALML3,DYNC1I1,810,1780
588,CALR,DYNC1I2,811,1781
589,CALU,DNM2,813,1785
590,CAMK4,DNMT1,814,1786
591,CAMK2B,DNMT3A,816,1788
592,CAMK2D,DNMT3B,817,1789
593,CAMK2G,DNTT,818,1791
594,CAMP,DOCK2,820,1794
595,CANX,DPAGT1,821,1798
596,CAPG,DPYD,822,1806
597,CAPN1,DPYS,823,1807
598,CAPN2,DPYSL2,824,1808
599,CAPN3,DRD1,825,1812
600,CAPN6,DRD3,827,1814
601,CAPS,DRD4,828,1815
602,CAPZA1,DRD5,829,1816
603,CAPZA2,DSC2,830,1824
604,CAST,DSG2,831,1829
605,CAPZB,DSP,832,1832
606,CASP1,HBEGF,834,1839
607,CASP2,DTX1,835,1840
608,CASP3,DTYMK,836,1841
609,CASP4,DUSP1,837,1843
610,CASP5,DUSP2,838,1844
611,CASP6,DUSP3,839,1845
612,CASP7,DUSP4,840,1846
613,CASP9,DUSP6,842,1848
614,CASP10,DUSP7,843,1849
615,CASQ1,DUSP8,844,1850
616,CASQ2,DUSP9,845,1852
617,CASR,DUT,846,1854
618,CAT,DVL1,847,1855
619,CATR1,AASDH,856,132949
620,CAV1,TYMP,857,1890
621,CAV2,ECH1,858,1891
622,CAV3,ECHS1,859,1892
623,RUNX2,EDA,860,1896
624,RUNX1,S1PR1,861,1901
625,RUNX1T1,LPAR1,862,1902
626,CBFA2T3,S1PR3,863,1903
627,RUNX3,EDN1,864,1906
628,CBFB,EDNRA,865,1909
629,SERPINA6,EDNRB,866,1910
630,CBL,PHC1,867,1911
631,CBLB,EEF2,868,1938
632,SERPINH1,EFNA3,871,1944
633,CBR1,EFNA5,873,1946
634,CBR3,EFNB1,874,1947
635,CBS,EFNB2,875,1948
636,CCIN,EGR3,881,1960
637,KYAT1,EIF1AX,883,1964
638,CCK,EIF2B1,885,1967
639,CCKBR,EPHA2,887,1969
640,KRIT1,EIF4A2,889,1974
641,CCNA2,EIF4B,890,1975
642,CCNB1,EIF4E,891,1977
643,CCNC,EIF4EBP1,892,1978
644,CCND2,EIF4G2,894,1982
645,CCND2P1,EIF5,895,1983
646,CCND3,GPR156,896,165829
647,CCND3P1,CELA1,897,1990
648,CCNE1,ELANE,898,1991
649,CCNF,ELAVL1,899,1994
650,CCNG1,ELK1,900,2002
651,CCNG2,ELK4,901,2005
652,CCNH,EMD,902,2010
653,CCNT1,ENDOG,904,2021
654,CCNT2,ENO1,905,2023
655,CCT6A,ENPEP,908,2028
656,CD1A,EP300,909,2033
657,CD1B,EPAS1,910,2034
658,CD1D,EPB41L1,912,2036
659,CD1E,EPB41L2,913,2037
660,CD2,EPHA1,914,2041
661,CD3D,EPHA3,915,2042
662,CD3E,EPHA4,916,2043
663,CD3G,EPHA5,917,2044
664,CD247,EPHA8,919,2046
665,CD4,EPHB1,920,2047
666,CD5,EPHB2,921,2048
667,CD5L,ENPP6,922,133121
668,CD6,EPHB3,923,2049
669,CD7,EPHB4,924,2050
670,CD8A,EPHX1,925,2052
671,CD8B,EPHX2,926,2053
672,CD8B2,STX2,927,2054
673,CD9,EPHB6,928,2051
674,CD14,EPO,929,2056
675,MS4A1,EPRS1,931,2058
676,MS4A3,EPS15,932,2060
677,CD22,ERBB2,933,2064
678,CD24P1,ERBB4,935,2066
679,CD24P2,ERCC1,936,2067
680,CD24P3,ERCC2,937,2068
681,CD80,ERCC5,941,2073
682,CD86,ERCC6,942,2074
683,TNFRSF8,ERN1,943,2081
684,TNFSF8,FBL,944,2091
685,CD33,ESR1,945,2099
686,SIGLEC6,ESRRA,946,2101
687,CD34,ETS1,947,2113
688,CD36,ETS2,948,2114
689,SCARB1,ETV3,949,2117
690,SCARB2,ETV5,950,2119
691,CD37,ETV6,951,2120
692,CD38,MECOM,952,2122
693,ENTPD1,EXT1,953,2131
694,ENTPD6,EXTL1,955,2134
695,ENTPD5,EXTL3,957,2137
696,CD40,EZH1,958,2145
697,CD40LG,EZH2,959,2146
698,CD44,F2,960,2147
699,CD47,F2R,961,2149
700,CD48,F2RL1,962,2150
701,CD53,F2RL2,963,2151
702,CD58,F5,965,2153
703,CD59,F7,966,2155
704,CD63,F8,967,2157
705,CD68,F9,968,2158
706,CD69,F10,969,2159
707,CD70,F11,970,2160
708,CD70,KLKB1,970,3818
709,CD72,F12,971,2161
710,CD74,F13A1,972,2162
711,CD79A,F13B,973,2165
712,CD79B,FAAH,974,2166
713,CD81,FABP4,975,2167
714,ADGRE5,FABP1,976,2168
715,CD151,FABP2,977,2169
716,CDA,FABP3,978,2170
717,CDK1,FANCA,983,2175
718,CDK11B,FANCC,984,2176
719,LRBA,ACSL1,987,2180
720,CDC5L,ACSL3,988,2181
721,SEPTIN7,ACSL4,989,2182
722,CDC6,FAH,990,2184
723,CDC20,PTK2B,991,2185
724,CDC25A,FANCG,993,2189
725,CDC25B,FARSA,994,2193
726,CDC25C,FASN,995,2194
727,CDC27,FAU,996,2197
728,CDC34,FBP1,997,2203
729,CDC42,FCER1A,998,2205
730,CDH1,MS4A2,999,2206
731,CDH2,FCER1G,1000,2207
732,CDH3,FCER2,1001,2208
733,CDH4,FCGR1A,1002,2209
734,CDH5,FCGR2A,1003,2212
735,CDH6,FCGR2B,1004,2213
736,CDH7,FCGR3A,1005,2214
737,CDH8,FCGR3B,1006,2215
738,CDH9,FDFT1,1007,2222
739,CDH10,FDPS,1008,2224
740,CDH11,FECH,1009,2235
741,CDH12,FEN1,1010,2237
742,CDH13,FES,1012,2242
743,CDH15,FGA,1013,2243
744,CDH16,FGB,1014,2244
745,CDH17,FGD1,1015,2245
746,CDH18,FGF1,1016,2246
747,CDK2,FGF2,1017,2247
748,CDK3,FGF3,1018,2248
749,CDK4,FGF4,1019,2249
750,CDK5,FGF5,1020,2250
751,CDK5,CFAP299,1020,255119
752,CDK6,FGF6,1021,2251
753,CDK7,FGF7,1022,2252
754,CDK9,FGF10,1025,2255
755,CDKN1A,FGF11,1026,2256
756,CDKN1B,FGF12,1027,2257
757,CDKN1C,FGF13,1028,2258
758,CDKN2A,FGF14,1029,2259
759,CDKN2B,FGFR1,1030,2260
760,CDKN2C,FGFR3,1031,2261
761,CDKN2D,FGFR2,1032,2263
762,CDKN3,FGFR4,1033,2264
763,CDO1,FH,1036,2271
764,CDR1,FHL2,1038,2274
765,CDR2,VEGFD,1039,2277
766,CDS1,FOXO1,1040,2308
767,CDSN,FOXO3,1041,2309
768,CD52,FLNB,1043,2317
769,CDX4,FLT1,1046,2321
770,CLGN,FLT3,1047,2322
771,CEBPA,FMO1,1050,2326
772,CEBPB,FMO2,1051,2327
773,CEBPD,FMO3,1052,2328
774,CEBPE,FMO4,1053,2329
775,CEBPG,FMO5,1054,2330
776,CECR,FMOD,1055,2331
777,CEL,FN1,1056,2335
778,CENPA,FOSB,1058,2354
779,CENPB,FOSL2,1059,2355
780,CENPC,FPGS,1060,2356
781,CENPCP1,FPR1,1061,2357
