,brief,full
REACTOME_CELL_CYCLE_MITOTIC,"Cell Cycle, Mitotic", 
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,"Cell death signalling via NRAGE, NRIF and NADE", 
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS,Cell-extracellular matrix interactions, 
REACTOME_CELL_JUNCTION_ORGANIZATION,Cell junction organization, 
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,Cell surface interactions at the vascular wall, 
REACTOME_CELLULAR_HEXOSE_TRANSPORT,Cellular hexose transport, 
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,Cellular response to chemical stress, 
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,Cellular response to heat stress, 
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,Cellular response to hypoxia, 
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,Cellular response to starvation, 
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,Cellular responses to stimuli, 
REACTOME_CELLULAR_SENESCENCE,Cellular Senescence, 
REACTOME_CGMP_EFFECTS,cGMP effects, 
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,Chaperone Mediated Autophagy, 
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,Chemokine receptors bind chemokines, 
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex, 
REACTOME_CHL1_INTERACTIONS,CHL1 interactions, 
REACTOME_CHOLESTEROL_BIOSYNTHESIS,Cholesterol biosynthesis, 
REACTOME_CHOLINE_CATABOLISM,Choline catabolism, 
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS,Chondroitin sulfate biosynthesis, 
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,Chondroitin sulfate/dermatan sulfate metabolism, 
REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION,ChREBP activates metabolic gene expression, 
REACTOME_CHROMATIN_MODIFYING_ENZYMES,Chromatin modifying enzymes, 
REACTOME_CHROMOSOME_MAINTENANCE,Chromosome Maintenance, 
REACTOME_CHYLOMICRON_ASSEMBLY,Chylomicron assembly, 
REACTOME_CHYLOMICRON_CLEARANCE,Chylomicron clearance, 
REACTOME_CHYLOMICRON_REMODELING,Chylomicron remodeling, 
REACTOME_CILIUM_ASSEMBLY,Cilium Assembly, 
REACTOME_CIRCADIAN_CLOCK,Circadian Clock, 
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,Citric acid cycle (TCA cycle), 
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,Class A/1 (Rhodopsin-like receptors), 
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,Class B/2 (Secretin family receptors), 
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS,Class C/3 (Metabotropic glutamate/pheromone receptors), 
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,Class I MHC mediated antigen processing & presentation, 
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT,Class I peroxisomal membrane protein import, 
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,Clathrin-mediated endocytosis, 
REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION,CLEC7A (Dectin-1) induces NFAT activation, 
REACTOME_CLEC7A_DECTIN_1_SIGNALING,CLEC7A (Dectin-1) signaling, 
REACTOME_CLEC7A_INFLAMMASOME_PATHWAY,CLEC7A/inflammasome pathway, 
REACTOME_COBALAMIN_CBL_METABOLISM,Cobalamin (Cbl) metabolism, 
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,"Cobalamin (Cbl, vitamin B12) transport and metabolism", 
REACTOME_COENZYME_A_BIOSYNTHESIS,Coenzyme A biosynthesis, 
REACTOME_COHESIN_LOADING_ONTO_CHROMATIN,Cohesin Loading onto Chromatin, 
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,Collagen biosynthesis and modifying enzymes, 
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,Collagen chain trimerization, 
REACTOME_COLLAGEN_DEGRADATION,Collagen degradation, 
REACTOME_COLLAGEN_FORMATION,Collagen formation, 
