,brief,full
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY,EGF receptor (ErbB1) signaling pathway, 
PID_ERBB2_ERBB3_PATHWAY,ErbB2/ErbB3 signaling events, 
PID_ERBB4_PATHWAY,ErbB4 signaling events, 
PID_ERBB_NETWORK_PATHWAY,ErbB receptor signaling network, 
PID_FAK_PATHWAY,Signaling events mediated by focal adhesion kinase, 
PID_FANCONI_PATHWAY,Fanconi anemia pathway, 
PID_FAS_PATHWAY,FAS (CD95) signaling pathway, 
PID_FCER1_PATHWAY,Fc-epsilon receptor I signaling in mast cells, 
PID_FGF_PATHWAY,FGF signaling pathway, 
PID_FOXM1_PATHWAY,FOXM1 transcription factor network, 
PID_FOXO_PATHWAY,FoxO family signaling, 
PID_FRA_PATHWAY,Validated transcriptional targets of AP1 family members Fra1 and Fra2, 
PID_GLYPICAN_1PATHWAY,Glypican 1 network, 
PID_GMCSF_PATHWAY,GMCSF-mediated signaling events, 
PID_HDAC_CLASSI_PATHWAY,Signaling events mediated by HDAC Class I, 
PID_HDAC_CLASSII_PATHWAY,Signaling events mediated by HDAC Class II, 
PID_HDAC_CLASSIII_PATHWAY,Signaling events mediated by HDAC Class III, 
PID_HEDGEHOG_2PATHWAY,Signaling events mediated by the Hedgehog family, 
PID_HEDGEHOG_GLI_PATHWAY,Hedgehog signaling events mediated by Gli proteins, 
PID_HES_HEY_PATHWAY,Notch-mediated HES/HEY network, 
PID_HIF1_TFPATHWAY,HIF-1-alpha transcription factor network, 
PID_HIF1A_PATHWAY,Hypoxic and oxygen homeostasis regulation of HIF-1-alpha, 
PID_HIF2PATHWAY,HIF-2-alpha transcription factor network, 
PID_HIV_NEF_PATHWAY,HIV-1 Nef: Negative effector of Fas and TNF-alpha, 
PID_HNF3A_PATHWAY,FOXA1 transcription factor network, 
PID_HNF3B_PATHWAY,FOXA2 and FOXA3 transcription factor networks, 
PID_IFNG_PATHWAY,IFN-gamma pathway, 
PID_IGF1_PATHWAY,IGF1 pathway, 
PID_IL12_2PATHWAY,IL12-mediated signaling events, 
PID_IL12_STAT4_PATHWAY,IL12 signaling mediated by STAT4, 
PID_IL1_PATHWAY,IL1-mediated signaling events, 
PID_IL23_PATHWAY,IL23-mediated signaling events, 
PID_IL27_PATHWAY,IL27-mediated signaling events, 
PID_IL2_1PATHWAY,IL2-mediated signaling events, 
PID_IL2_PI3K_PATHWAY,IL2 signaling events mediated by PI3K, 
PID_IL2_STAT5_PATHWAY,IL2 signaling events mediated by STAT5, 
PID_IL3_PATHWAY,IL3-mediated signaling events, 
PID_IL4_2PATHWAY,IL4-mediated signaling events, 
PID_IL5_PATHWAY,IL5-mediated signaling events, 
PID_IL6_7_PATHWAY,IL6-mediated signaling events, 
PID_IL8_CXCR1_PATHWAY,IL8- and CXCR1-mediated signaling events, 
PID_IL8_CXCR2_PATHWAY,IL8- and CXCR2-mediated signaling events, 
PID_ILK_PATHWAY,Integrin-linked kinase signaling, 
PID_INSULIN_GLUCOSE_PATHWAY,Insulin-mediated glucose transport, 
PID_INSULIN_PATHWAY,Insulin Pathway, 
PID_INTEGRIN1_PATHWAY,Beta1 integrin cell surface interactions, 
PID_INTEGRIN2_PATHWAY,Beta2 integrin cell surface interactions, 
PID_INTEGRIN3_PATHWAY,Beta3 integrin cell surface interactions, 
PID_INTEGRIN4_PATHWAY,Alpha6 beta4 integrin-ligand interactions, 
PID_INTEGRIN5_PATHWAY,Beta5 beta6 beta7 and beta8 integrin cell surface interactions, 
PID_INTEGRIN_A4B1_PATHWAY,Alpha4 beta1 integrin signaling events, 
PID_INTEGRIN_A9B1_PATHWAY,Alpha9 beta1 integrin signaling events, 
PID_INTEGRIN_CS_PATHWAY,Integrin family cell surface interactions, 
PID_KIT_PATHWAY,Signaling events mediated by Stem cell factor receptor (c-Kit), 
PID_LIS1_PATHWAY,Lissencephaly gene (LIS1) in neuronal migration and development, 
PID_LKB1_PATHWAY,LKB1 signaling events, 
PID_LPA4_PATHWAY,LPA4-mediated signaling events, 
PID_LYMPH_ANGIOGENESIS_PATHWAY,VEGFR3 signaling in lymphatic endothelium, 
PID_LYSOPHOSPHOLIPID_PATHWAY,LPA receptor mediated events, 
PID_MAPK_TRK_PATHWAY,Trk receptor signaling mediated by the MAPK pathway, 
PID_MET_PATHWAY,Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met), 
PID_MTOR_4PATHWAY,mTOR signaling pathway, 
PID_MYC_ACTIV_PATHWAY,Validated targets of C-MYC transcriptional activation, 
PID_MYC_PATHWAY,C-MYC pathway, 
PID_MYC_REPRESS_PATHWAY,Validated targets of C-MYC transcriptional repression, 
PID_NCADHERIN_PATHWAY,N-cadherin signaling events, 
PID_NECTIN_PATHWAY,Nectin adhesion pathway, 
PID_NEPHRIN_NEPH1_PATHWAY,Nephrin/Neph1 signaling in the kidney podocyte, 
PID_NETRIN_PATHWAY,Netrin-mediated signaling events, 
PID_NFAT_3PATHWAY,Role of Calcineurin-dependent NFAT signaling in lymphocytes, 
PID_NFAT_TFPATHWAY,Calcineurin-regulated NFAT-dependent transcription in lymphocytes, 
PID_NFKAPPAB_ATYPICAL_PATHWAY,Atypical NF-kappaB pathway, 
PID_NFKAPPAB_CANONICAL_PATHWAY,Canonical NF-kappaB pathway, 
PID_NOTCH_PATHWAY,Notch signaling pathway, 
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY,Signaling mediated by p38-alpha and p38-beta, 
PID_P38_ALPHA_BETA_PATHWAY,Regulation of p38-alpha and p38-beta, 
PID_P38_GAMMA_DELTA_PATHWAY,Signaling mediated by p38-gamma and p38-delta, 
PID_P38_MK2_PATHWAY,p38 signaling mediated by MAPKAP kinases, 
PID_P38_MKK3_6PATHWAY,p38 MAPK signaling pathway, 
PID_P53_DOWNSTREAM_PATHWAY,Direct p53 effectors, 
PID_P53_REGULATION_PATHWAY,p53 pathway, 
PID_P73PATHWAY,p73 transcription factor network, 
PID_P75_NTR_PATHWAY,p75(NTR)-mediated signaling, 
PID_PDGFRA_PATHWAY,PDGFR-alpha signaling pathway, 
PID_PDGFRB_PATHWAY,PDGFR-beta signaling pathway, 
PID_PI3K_PLC_TRK_PATHWAY,Trk receptor signaling mediated by PI3K and PLC-gamma, 
PID_PI3KCI_AKT_PATHWAY,Class I PI3K signaling events mediated by Akt, 
PID_PI3KCI_PATHWAY,Class I PI3K signaling events, 
PID_PLK1_PATHWAY,PLK1 signaling events, 
PID_PRL_SIGNALING_EVENTS_PATHWAY,Signaling events mediated by PRL, 
PID_PS1_PATHWAY,Presenilin action in Notch and Wnt signaling, 
PID_PTP1B_PATHWAY,Signaling events mediated by PTP1B, 
PID_RAC1_PATHWAY,RAC1 signaling pathway, 
PID_RAC1_REG_PATHWAY,Regulation of RAC1 activity, 
PID_RANBP2_PATHWAY,Sumoylation by RanBP2 regulates transcriptional repression, 
PID_RAS_PATHWAY,Regulation of Ras family activation, 
PID_RB_1PATHWAY,Regulation of retinoblastoma protein, 
PID_REELIN_PATHWAY,Reelin signaling pathway, 
PID_REG_GR_PATHWAY,Glucocorticoid receptor regulatory network, 
PID_RET_PATHWAY,Signaling events regulated by Ret tyrosine kinase, 
PID_RETINOIC_ACID_PATHWAY,Retinoic acid receptors-mediated signaling, 
PID_RHOA_PATHWAY,RhoA signaling pathway, 
PID_RHOA_REG_PATHWAY,Regulation of RhoA activity, 
PID_RHODOPSIN_PATHWAY,Visual signal transduction: Rods, 
PID_RXR_VDR_PATHWAY,RXR and RAR heterodimerization with other nuclear receptor, 
PID_S1P_META_PATHWAY,Sphingosine 1-phosphate (S1P) pathway, 
PID_S1P_S1P1_PATHWAY,S1P1 pathway, 
PID_S1P_S1P2_PATHWAY,S1P2 pathway, 
PID_S1P_S1P3_PATHWAY,S1P3 pathway, 
PID_S1P_S1P4_PATHWAY,S1P4 pathway, 
PID_SHP2_PATHWAY,SHP2 signaling, 
PID_SMAD2_3NUCLEAR_PATHWAY,Regulation of nuclear SMAD2/3 signaling, 
PID_SMAD2_3PATHWAY,Regulation of cytoplasmic and nuclear SMAD2/3 signaling, 
PID_SYNDECAN_1_PATHWAY,Syndecan-1-mediated signaling events, 
PID_SYNDECAN_2_PATHWAY,Syndecan-2-mediated signaling events, 
PID_SYNDECAN_3_PATHWAY,Syndecan-3-mediated signaling events, 
PID_SYNDECAN_4_PATHWAY,Syndecan-4-mediated signaling events, 
PID_TAP63_PATHWAY,Validated transcriptional targets of TAp63 isoforms, 
PID_TCPTP_PATHWAY,Signaling events mediated by TCPTP, 
PID_TCR_CALCIUM_PATHWAY,Calcium signaling in the CD4+ TCR pathway, 
PID_TCR_JNK_PATHWAY,JNK signaling in the CD4+ TCR pathway, 
PID_TCR_PATHWAY,TCR signaling in naïve CD4+ T cells, 
PID_TCR_RAS_PATHWAY,Ras signaling in the CD4+ TCR pathway, 
PID_TELOMERASE_PATHWAY,Regulation of Telomerase, 
PID_TGFBR_PATHWAY,TGF-beta receptor signaling, 
PID_THROMBIN_PAR1_PATHWAY,PAR1-mediated thrombin signaling events, 
PID_THROMBIN_PAR4_PATHWAY,PAR4-mediated thrombin signaling events, 
PID_TNF_PATHWAY,TNF receptor signaling pathway, 
PID_TOLL_ENDOGENOUS_PATHWAY,Endogenous TLR signaling, 
PID_TRAIL_PATHWAY,TRAIL signaling pathway, 
PID_TRKR_PATHWAY,Neurotrophic factor-mediated Trk receptor signaling, 
PID_TXA2PATHWAY,Thromboxane A2 receptor signaling, 
PID_UPA_UPAR_PATHWAY,Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling, 
PID_VEGF_VEGFR_PATHWAY,VEGF and VEGFR signaling network, 
PID_VEGFR1_2_PATHWAY,Signaling events mediated by VEGFR1 and VEGFR2, 
PID_VEGFR1_PATHWAY,VEGFR1 specific signals, 
PID_WNT_CANONICAL_PATHWAY,Canonical Wnt signaling pathway, 
PID_WNT_NONCANONICAL_PATHWAY,Noncanonical Wnt signaling pathway, 
PID_WNT_SIGNALING_PATHWAY,Wnt signaling network, 
